,1,54.34,77.38
24480,24460,65.18,68.96
24540,24520,65.17,68.98
24600,24580,65.15,68.96
24660,24640,65.14,68.93
24720,24700,65.16,68.98
24780,24760,65.17,68.96
24840,24820,65.09,68.95
24900,24880,65.01,68.95
24960,24940,65.1,68.95
25020,25000,64.95,68.93
25080,25060,64.93,68.95
25140,25120,64.96,68.96
25200,25180,64.94,68.96
25260,25240,64.88,68.95
25320,25300,64.89,68.93
25380,25360,64.77,68.95
25440,25420,64.87,68.95
25500,25480,64.87,68.96
25560,25540,64.85,68.98
25620,25600,64.82,68.96
25680,25660,64.76,68.96
25740,25720,64.69,68.93
25800,25780,64.71,68.93
25860,25840,64.66,68.96
25920,25900,64.61,68.98
25980,25960,64.63,68.96
26040,26020,64.62,68.96
26100,26080,64.51,68.98
26160,26140,64.44,68.96
26220,26200,64.57,68.96
26280,26260,64.63,68.95
26340,26320,64.47,68.96
26400,26380,64.48,68.96
26460,26440,64.45,69.0
26520,26500,64.42,68.98
26580,26560,64.38,68.96
26640,26620,64.33,69.0
26700,26680,64.24,68.96
26760,26740,64.34,68.96
26820,26800,64.32,68.96
26880,26860,64.27,68.98
26940,26920,64.3,68.95
27000,26980,64.32,68.98
27060,27040,64.38,68.98
27120,27100,64.35,68.98
27180,27160,64.24,68.98
27240,27220,64.24,68.98
27300,27280,64.27,68.98
27360,27340,64.25,68.98
27420,27400,64.24,68.98
27480,27460,64.14,69.06
27540,27520,64.19,69.04
27600,27580,64.22,69.04
27660,27640,64.19,69.0
27720,27700,64.09,69.06
27780,27760,63.98,69.04
27840,27820,63.82,69.02
27900,27880,63.86,69.06
27960,27940,63.92,69.04
28020,28000,63.89,69.02
28080,28060,63.87,69.1
28140,28120,63.93,69.08
28200,28180,64.0,69.06
28260,28240,64.01,69.08
28320,28300,63.93,69.1
28380,28360,63.94,69.08
28440,28420,63.95,69.14
28500,28480,63.98,69.12
28560,28540,63.93,69.18
28620,28600,63.82,69.14
28680,28660,63.9,69.25
28740,28720,63.84,69.37
28800,28780,63.65,69.47
28860,28840,63.47,69.54
28920,28900,63.3,69.56
28980,28960,63.26,69.49
29040,29020,63.37,69.43
29100,29080,63.5,69.45
29160,29140,63.53,69.45
29220,29200,63.63,69.39
29280,29260,63.62,69.41
29340,29320,63.64,69.41
29400,29380,63.63,69.39
29460,29440,63.64,69.41
29520,29500,63.64,69.39
29580,29560,63.64,69.37
29640,29620,63.68,69.33
29700,29680,63.67,69.33
29760,29740,63.71,69.35
29820,29800,63.68,69.33
29880,29860,63.63,69.33
29940,29920,63.67,69.37
30000,29980,63.66,69.33
30060,30040,63.65,69.35
30120,30100,63.66,69.37
30180,30160,63.64,69.37
30240,30220,63.65,69.35
30300,30280,63.64,69.35
30360,30340,63.64,69.37
30420,30400,63.65,69.33
30480,30460,63.62,69.37
30540,30520,63.61,69.35
30600,30580,63.62,69.35
30660,30640,63.56,69.37
30720,30700,63.58,69.37
30780,30760,63.61,69.37
30840,30820,63.63,69.39
30900,30880,63.61,69.35
30960,30940,63.64,69.37
31020,31000,63.63,69.35
31080,31060,63.64,69.31
31140,31120,63.61,69.33
31200,31180,63.61,69.33
31260,31240,63.6,69.37
31320,31300,63.6,69.35
31380,31360,63.58,69.37
31440,31420,63.58,69.37
31500,31480,63.57,69.33
31560,31540,63.56,69.37
31620,31600,63.49,69.35
31680,31660,63.48,69.39
31740,31720,63.48,69.37
31800,31780,63.48,69.37
31860,31840,63.47,69.37
31920,31900,63.45,69.37
31980,31960,63.49,69.37
32040,32020,63.49,69.41
32100,32080,63.52,69.37
32160,32140,63.52,69.39
32220,32200,63.53,69.39
32280,32260,63.53,69.37
32340,32320,63.54,69.43
32400,32380,63.55,69.39
32460,32440,63.65,69.47
32520,32500,63.52,69.45
32580,32560,63.55,69.45
32640,32620,63.55,69.49
32700,32680,63.52,69.49
32760,32740,63.54,69.47
32820,32800,63.48,69.47
32880,32860,63.51,69.5
32940,32920,63.48,69.5
33000,32980,63.47,69.49
33060,33040,63.46,69.52
33120,33100,63.56,69.5
33180,33160,64.0,69.52
33240,33220,64.71,69.56
33300,33280,65.56,69.58
33360,33340,66.27,69.62
33420,33400,67.04,69.68
33480,33460,67.51,69.66
33540,33520,68.18,69.66
33600,33580,68.99,69.7
33660,33640,69.47,69.74
33720,33700,70.14,69.89
33780,33760,71.56,69.93
33840,33820,71.58,69.89
33900,33880,69.92,69.93
33960,33940,70.83,69.93
34020,34000,70.85,69.97
34080,34060,70.73,69.97
34140,34120,71.11,69.97
34200,34180,70.84,69.93
34260,34240,70.46,69.97
34320,34300,70.34,69.93
34380,34360,70.05,69.91
34440,34420,69.67,69.95
34500,34480,69.67,69.93
34560,34540,69.41,69.93
34620,34600,69.24,69.97
34680,34660,69.02,69.95
34740,34720,68.83,69.93
34800,34780,68.59,69.95
34860,34840,68.45,70.01
34920,34900,68.29,69.97
34980,34960,68.15,69.97
35040,35020,67.99,69.99
35100,35080,67.81,69.97
35160,35140,67.7,69.99
35220,35200,67.54,70.01
35280,35260,67.4,70.01
35340,35320,67.26,69.99
35400,35380,67.2,70.01
35460,35440,67.03,70.03
35520,35500,66.81,70.03
35580,35560,66.77,70.03
35640,35620,66.71,70.03
35700,35680,66.55,70.03
35760,35740,66.49,70.03
35820,35800,66.44,70.03
